Anime,URL,Tags,Alts,MAL_ID
Attack on Titan,https://www.anime-planet.com/anime/attack-on-titan,"['Action', 'Fantasy', 'Horror', 'Shounen', 'Dark Fantasy', 'Death of a Loved One', 'Isolated Society', 'Military', 'Outside World', 'Overpowered Main Characters', 'Post-apocalyptic', 'Revenge', 'Cannibalism', 'Explicit Violence', 'Mature Themes', 'Suicide', 'Based on a Manga']",['Shingeki no Kyojin'],16498
Death Note,https://www.anime-planet.com/anime/death-note,"['Mystery', 'Shounen', 'Contemporary Fantasy', 'Crime', 'Criminals', 'Detectives', 'Mind Games', 'Overpowered Main Characters', 'Psychological', 'Psychopaths', 'Rivalries', 'Secret Identity', 'Serial Killers', 'Shinigami', 'Supernatural', 'Thriller', 'Urban Fantasy', 'Vigilantes', 'Based on a Manga']",[''],1535
Fullmetal Alchemist: Brotherhood,https://www.anime-planet.com/anime/fullmetal-alchemist-brotherhood,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Shounen', 'Conspiracy', 'Death of a Loved One', 'Military', 'Siblings', 'Animal Abuse', 'Mature Themes', 'Violence', 'Based on a Manga', 'Domestic Abuse']",['Hagane no Renkinjutsushi: Full Metal Alchemist'],5114
One-Punch Man,https://www.anime-planet.com/anime/one-punch-man,"['Action', 'Comedy', 'Sci Fi', 'Seinen', 'Cyborgs', 'Monsters', 'Overpowered Main Characters', 'Parody', 'Satire', 'Superheroes', 'Superpowers', 'Explicit Violence', 'Based on a Manga']",[''],30276
Sword Art Online,https://www.anime-planet.com/anime/sword-art-online,"['Action', 'Adventure', 'Fantasy', 'Sci Fi', 'Dungeon', 'Game Elements', 'High Stakes Games', 'MMORPG', 'Overpowered Main Characters', 'PVE', 'PVP', 'Trapped in a Video Game', 'Virtual Reality', 'Mature Themes', 'Physical Abuse', 'Sexual Abuse', 'Suicide', 'Based on a Light Novel']",[''],11757
My Hero Academia,https://www.anime-planet.com/anime/my-hero-academia,"['Action', 'Comedy', 'Drama', 'Shounen', 'School Life', 'Superheroes', 'Superpowers', 'Weak to Strong', 'Violence', 'Based on a Manga']",['Boku no Hero Academia'],31964
Demon Slayer: Kimetsu no Yaiba,https://www.anime-planet.com/anime/demon-slayer-kimetsu-no-yaiba,"['Action', 'Adventure', 'Comedy', 'Drama', 'Shounen', 'Death of a Loved One', 'Demons', 'Historical', 'Martial Arts', 'Orphans', 'Siblings', 'Supernatural', 'Swordplay', 'Violence', 'Based on a Manga']",['Kimetsu no Yaiba'],38000
Naruto,https://www.anime-planet.com/anime/naruto,"['Action', 'Drama', 'Shounen', 'Japanese Mythology', 'Ninja', 'Orphans', 'Revenge', 'Rivalries', 'Based on a Manga']",[''],20
Tokyo Ghoul,https://www.anime-planet.com/anime/tokyo-ghoul,"['Action', 'Drama', 'Horror', 'Seinen', 'Contemporary Fantasy', 'Human Experimentation', 'Psychological', 'Supernatural', 'Thriller', 'Cannibalism', 'Explicit Violence', 'Mature Themes', 'Physical Abuse', 'Based on a Manga']",[''],22319
Hunter x Hunter (2011),https://www.anime-planet.com/anime/hunter-x-hunter-2011,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Shounen', 'Child Protagonists', 'Monsters', 'Superpowers', 'Violence', 'Based on a Manga']",[''],11061
your name.,https://www.anime-planet.com/anime/your-name,"['Drama', 'Romance', 'Body Swapping', 'Gender Bender', 'Opposites Attract', 'School Life', 'Supernatural', 'Original Work']",['Kimi no Na wa.'],32281
Steins;Gate,https://www.anime-planet.com/anime/steins-gate,"['Sci Fi', 'Conspiracy', 'Psychological', 'Thriller', 'Time Loop', 'Time Travel', 'Mature Themes', 'Suicide', 'Violence', 'Based on a Visual Novel']",[''],9253
Naruto Shippuden,https://www.anime-planet.com/anime/naruto-shippuden,"['Action', 'Drama', 'Fantasy', 'Shounen', 'Hand to Hand Combat', 'Ninja', 'Revenge', 'Based on a Manga']",[''],1735
