Anime,URL,Tags,Alts,id
"Chiaki Kuriyama: ""0""",https://www.anime-planet.com/anime/chiaki-kuriyama-0,[],,20707
"""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi",https://www.anime-planet.com/anime/bungaku-shoujo-kyou-no-oyatsu-hatsukoi,"['Romance', 'Library', 'School Life', 'Based on a Light Novel']",,7669
"""Bungaku Shoujo"" Memoire",https://www.anime-planet.com/anime/bungaku-shoujo-memoire,"['Drama', 'Romance', 'Episodic', 'School Life', 'Based on a Light Novel']",,8481
"""Bungaku Shoujo"" Movie",https://www.anime-planet.com/anime/bungaku-shoujo-movie,"['Drama', 'Mystery', 'Romance', 'School Club', 'School Life', 'Based on a Light Novel']",,6408
"""Eiji""",https://www.anime-planet.com/anime/eiji,"['Shounen', 'Sports', 'Boxing', 'Hand to Hand Combat', 'Based on a Manga']",,6076
Oshi no Ko,https://www.anime-planet.com/anime/oshi-no-ko,"['Drama', 'Seinen', 'Slice of Life', 'Acting', 'Idols', 'Psychological', 'Reincarnation', 'Showbiz', 'Siblings', 'Social Media', 'Suicide', 'Violence', 'Based on a Manga']",,52034
Aqua Minato: #Aqua-iro Palette,https://www.anime-planet.com/anime/aqua-minato-aqua-iro-palette,['VTubers'],,51481
.hack//G.U. Returner,https://www.anime-planet.com/anime/hack-g-u-returner,"['Game Elements', 'MMORPG', 'Virtual Reality']",,2928
.hack//G.U. Trilogy,https://www.anime-planet.com/anime/hack-g-u-trilogy,"['Game Elements', 'MMORPG', 'Virtual Reality', 'CG Animation']",,3269
hackgutrilogyparody,https://www.anime-planet.com/anime/hack-g-u-trilogy-parody,"['Comedy', 'Game Elements', 'MMORPG', 'Virtual Reality']",,4469
hackgift,https://www.anime-planet.com/anime/hack-gift,"['Chibi', 'Game Elements', 'MMORPG', 'Shorts', 'Virtual Reality', 'Nudity', 'Violence']",,454
.hack//SIGN - Intermezzo,https://www.anime-planet.com/anime/hack-sign-intermezzo,"['Dungeon', 'Game Elements', 'MMORPG', 'Virtual Reality']",,1143
.hack//LIMINALITY,https://www.anime-planet.com/anime/hack-liminality,"['Mystery', 'Sci Fi', 'Original Work']",,299
.hack//Quantum,https://www.anime-planet.com/anime/hack-quantum,"['Action', 'Mystery', 'Sci Fi', 'Dungeon', 'MMORPG']",,9332
hackquantumgoourchimchims,https://www.anime-planet.com/anime/hack-quantum-go-our-chim-chims,[],"
Alt title: .hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!
",10390
.hack//Roots,https://www.anime-planet.com/anime/hack-roots,"['Game Elements', 'MMORPG', 'Virtual Reality']",,873
.hack//SIGN,https://www.anime-planet.com/anime/hack-sign,"['Adventure', 'Fantasy', 'Sci Fi', 'Game Elements', 'Hacking', 'MMORPG', 'Person in a Strange World', 'Trapped in a Video Game', 'Virtual Reality', 'Emotional Abuse', 'Physical Abuse', 'Domestic Abuse']",,48
.hack//Legend Of The Twilight,https://www.anime-planet.com/anime/hack-legend-of-the-twilight,"['Sci Fi', 'Game Elements', 'MMORPG', 'Siblings', 'Virtual Reality']","
Alt title: .hack//Tasogare no Udewa Densetsu
",298
