Anime,URL,Tags
Attack on Titan The Final Season: The Final Chapters,https://www.anime-planet.com/anime/attack-on-titan-the-final-season-the-final-chapters,"['Action', 'Drama', 'Fantasy', 'Shounen', 'Dark Fantasy', 'Military', 'War', 'Explicit Violence', 'Mature Themes', 'Physical Abuse', 'Suicide', 'Based on a Manga']"
Fullmetal Alchemist: Brotherhood,https://www.anime-planet.com/anime/fullmetal-alchemist-brotherhood,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Shounen', 'Conspiracy', 'Death of a Loved One', 'Military', 'Siblings', 'Animal Abuse', 'Mature Themes', 'Violence', 'Based on a Manga', 'Domestic Abuse']"
Fruits Basket the Final Season,https://www.anime-planet.com/anime/fruits-basket-the-final-season,"['Drama', 'Fantasy', 'Romance', 'Shoujo', 'Animal Transformation', 'Contemporary Fantasy', 'Curse', 'Dysfunctional Families', 'Mental Illness', 'Orphans', 'Zodiac', 'Emotional Abuse', 'Mature Themes', 'Physical Abuse', 'Suicide', 'Violence', 'Based on a Manga', 'Domestic Abuse']"
Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,https://www.anime-planet.com/anime/demon-slayer-kimetsu-no-yaiba-entertainment-district-arc,"['Action', 'Adventure', 'Shounen', 'Demons', 'Historical', 'Martial Arts', 'Orphans', 'Siblings', 'Supernatural', 'Swordplay', 'Explicit Violence', 'Based on a Manga']"
Jujutsu Kaisen 2nd Season,https://www.anime-planet.com/anime/jujutsu-kaisen-2nd-season,
Mo Dao Zu Shi 3,https://www.anime-planet.com/anime/mo-dao-zu-shi-3,
Attack on Titan 3rd Season: Part II,https://www.anime-planet.com/anime/attack-on-titan-3rd-season-part-ii,
Bleach: Thousand-Year Blood War,https://www.anime-planet.com/anime/bleach-thousand-year-blood-war,
Heaven Official's Blessing 2nd Season,https://www.anime-planet.com/anime/heaven-officials-blessing-2nd-season,
Haikyuu!! Karasuno High School vs Shiratorizawa Academy,https://www.anime-planet.com/anime/haikyuu-karasuno-high-school-vs-shiratorizawa-academy,
Jujutsu Kaisen,https://www.anime-planet.com/anime/jujutsu-kaisen,
Kaguya-sama: Love is War - Ultra Romantic,https://www.anime-planet.com/anime/kaguya-sama-love-is-war-ultra-romantic,
Haikyuu!! Second Season,https://www.anime-planet.com/anime/haikyuu-second-season,
your name.,https://www.anime-planet.com/anime/your-name,
A Silent Voice,https://www.anime-planet.com/anime/a-silent-voice,
Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train,https://www.anime-planet.com/anime/demon-slayer-kimetsu-no-yaiba-movie-mugen-train,
Hunter x Hunter (2011),https://www.anime-planet.com/anime/hunter-x-hunter-2011,
Attack on Titan The Final Season,https://www.anime-planet.com/anime/attack-on-titan-the-final-season,
The Apothecary Diaries,https://www.anime-planet.com/anime/the-apothecary-diaries,
Heaven Official's Blessing Special,https://www.anime-planet.com/anime/heaven-officials-blessing-special,
Haikyuu!! To the Top: Part II,https://www.anime-planet.com/anime/haikyuu-to-the-top-part-ii,
SPY x FAMILY,https://www.anime-planet.com/anime/spy-x-family,
Demon Slayer: Kimetsu no Yaiba,https://www.anime-planet.com/anime/demon-slayer-kimetsu-no-yaiba,
Frieren: Beyond Journey's End,https://www.anime-planet.com/anime/frieren-beyond-journeys-end,
Violet Evergarden Movie,https://www.anime-planet.com/anime/violet-evergarden-movie,
Code Geass: Lelouch of the Rebellion R2,https://www.anime-planet.com/anime/code-geass-lelouch-of-the-rebellion-r2,
Link Click 2nd Season,https://www.anime-planet.com/anime/link-click-2nd-season,
Mo Dao Zu Shi 2,https://www.anime-planet.com/anime/mo-dao-zu-shi-2,
That Time I Got Reincarnated as a Slime Season 2,https://www.anime-planet.com/anime/that-time-i-got-reincarnated-as-a-slime-season-2,
Gintama: The Very Final,https://www.anime-planet.com/anime/gintama-the-very-final,
Gintama': Enchousen,https://www.anime-planet.com/anime/gintama-enchousen,
Attack on Titan The Final Season: Part II,https://www.anime-planet.com/anime/attack-on-titan-the-final-season-part-ii,
Mob Psycho 100 II,https://www.anime-planet.com/anime/mob-psycho-100-ii,
Gintama Kanketsu-hen: Yorozuya yo Eien Nare,https://www.anime-planet.com/anime/gintama-kanketsu-hen-yorozuya-yo-eien-nare,
Heaven Official's Blessing,https://www.anime-planet.com/anime/heaven-officials-blessing,
Oshi no Ko,https://www.anime-planet.com/anime/oshi-no-ko,
