Anime,URL,Tags,Alts
mouseandhischild,https://www.anime-planet.com/anime/the-mouse-and-his-child,"['Adventure', 'Animal Protagonists', 'Anthropomorphic', 'Family Friendly', 'Non-Human Protagonists', 'Based on a Novel']","
Alt title: Oyaro Nezumi no Fushigi na Tabi
"
yurumates3dplus,https://www.anime-planet.com/anime/yurumates-3d-plus,"['Comedy', 'Seinen', 'Slice of Life', 'Boarding House', 'Chibi', 'Neighbors', 'Short Episodes', 'Based on a 4-Koma Manga', 'Based on a Manga']",
mekurumekukurume,https://www.anime-planet.com/anime/mekurumeku-kurume,['Music'],
thenorthfacejapanairystring,https://www.anime-planet.com/anime/the-north-face-japan-airystring,"['Commercials', 'No Dialogue', 'Promotional', 'CG Animation']",
togokiyomarusummertime,https://www.anime-planet.com/anime/togo-kiyomaru-summer-time,['Abstract'],
tokinotabibitotimestranger,https://www.anime-planet.com/anime/toki-no-tabibito-time-stranger,"['Adventure', 'Sci Fi', 'Person in a Strange World', 'Time Travel']",
reideen,https://www.anime-planet.com/anime/reideen,"['Action', 'Drama', 'Mecha', 'Sci Fi', 'Original Work']",
transformersenergon,https://www.anime-planet.com/anime/transformers-energon,"['Action', 'Mecha', 'Sci Fi', 'Combining Mecha', 'Non-Human Protagonists', 'Robots', 'Sentient Mecha', 'Super Robot', 'Transforming Mecha', 'War']","
Alt title: Transformers: Superlink
"
magikano,https://www.anime-planet.com/anime/magikano,"['Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Romance', 'Seinen', 'Magic', 'Based on a Manga']",
akamegakilltheater,https://www.anime-planet.com/anime/akame-ga-kill-theater,"['Comedy', 'Shounen', 'Chibi', 'Short Episodes', 'Based on a Manga']","
Alt title: Akame ga Kill! Gekijou
"
hellokittynonemurerumorinobijo,https://www.anime-planet.com/anime/hello-kitty-no-nemureru-mori-no-bijo,"['Animal Protagonists', 'Anthropomorphic', 'Cats', 'Family Friendly', 'Non-Human Protagonists', 'Sanrio Characters', 'Based on a Fairy Tale']","
Alt title: Hello Kitty In Sleeping Beauty
"
babmookja,https://www.anime-planet.com/anime/bab-mook-ja,"['Slice of Life', 'Korean Animation', 'Shorts', 'Original Work']",
47todoufukenr,https://www.anime-planet.com/anime/47-todoufuken-r,"['Animal Protagonists', 'Family Friendly', 'Non-Human Protagonists', 'CG Animation']",
orchestra,https://www.anime-planet.com/anime/orchestra,"['Abstract', 'Black and White', 'Classical Music', 'Music', 'Shorts']",
himawaritoo,https://www.anime-planet.com/anime/himawari-too,"['Action', 'Comedy', 'Martial Arts', 'Ninja', 'Original Work']",
croiseeinaforeignlabyrinthpicturedrama,https://www.anime-planet.com/anime/croisee-in-a-foreign-labyrinth-picture-drama,"['Shounen', '19th Century', 'Historical', 'Picture Drama', 'Based on a Manga']","
Alt title: Ikoku Meiro no Croisee Picture Drama
"
lensman,https://www.anime-planet.com/anime/lensman,"['Action', 'Sci Fi', 'Based on a Novel']","
Alt title: SF Shinseiki Lensman
"
brokendownfilm,https://www.anime-planet.com/anime/broken-down-film,"['Comedy', 'Black and White', 'Shorts']","
Alt title: Onboro Film
"
warlordsofsigrdrifa,https://www.anime-planet.com/anime/warlords-of-sigrdrifa,"['Action', 'Fantasy', 'Aviation', 'Contemporary Fantasy', 'Military', 'Norse Mythology', 'Original Work']","
Alt title: Senyoku no Sigrdrifa
"
girlslastclass,https://www.anime-planet.com/anime/girls-last-class,"['Comedy', 'Chibi', 'School Life', 'Short Episodes', 'Based on a Manga']","
Alt title: Shoujo Shuumatsu Jugyou
"
gundambuilddiversbattlogue,https://www.anime-planet.com/anime/gundam-build-divers-battlogue,"['Action', 'Mecha', 'Sci Fi']",
mikosakuramynameiselite,https://www.anime-planet.com/anime/miko-sakura-my-name-is-elite,['VTubers'],
special7specialcrimeinvestigationunitseijinanatsukisrunningreport,https://www.anime-planet.com/anime/special-7-special-crime-investigation-unit-seiji-nanatsukis-running-report,"['Action', 'Police', 'Recap', 'Original Work']","
Alt title: Keishichou Tokumu-bu Tokushu Kyouakuhan Taisaku-shitsu Dai Nanaka: Tokunana - Nanatsuki Seiji no Kakenukeru Katsudou Houkokusho
"
eienno831,https://www.anime-planet.com/anime/eien-no-831,"['CG Animation', 'Original Work']",
aliennine,https://www.anime-planet.com/anime/alien-nine,"['Sci Fi', 'Seinen', 'Aliens', 'Child Protagonists', 'Psychological', 'School Life', 'Based on a Manga']","
Alt title: Alien 9
"
princessknight,https://www.anime-planet.com/anime/princess-knight,"['Adventure', 'Fantasy', 'Shoujo', 'Based on a Manga']","
Alt title: Ribon no Kishi
"
fategrandorderallinlasvegaschampionshipmatchsevenduelsofswordbeautieseventpv,https://www.anime-planet.com/anime/fate-grand-order-all-in-las-vegas-championship-match-seven-duels-of-swordbeauties-event-pv,"['Fantasy', 'Sci Fi', 'Promotional']",
establifegreatescape,https://www.anime-planet.com/anime/estab-life-great-escape,"['Sci Fi', 'CG Animation', 'Original Work']",
jininnerarts,https://www.anime-planet.com/anime/jin-inner-arts,['Vocaloid'],
raytheanimation,https://www.anime-planet.com/anime/ray-the-animation,"['Drama', 'Sci Fi', 'Shounen', 'Doctors', 'Human Experimentation', 'Medical', 'Orphans', 'Violence', 'Based on a Manga']",
pinocchiopsekaiwamadahajimattesurainai,https://www.anime-planet.com/anime/pinocchio-p-sekai-wa-mada-hajimatte-sura-inai,"['Chibi', 'Vocaloid']","
Alt title: Pinocchio-P: The World Hasn’t Even Started Yet
"
kerakera,https://www.anime-planet.com/anime/kerakera,"['Animal Protagonists', 'Family Friendly', 'Minna no Uta', 'Non-Human Protagonists']","
Alt title: Minna no Uta: Kerakera
"
psilonhikarinoakuma,https://www.anime-planet.com/anime/epsilon-phi-hikari-no-akuma,['CG Animation'],
