Anime,URL,MAL_ID
Cowboy Bebop,https://www.anime-planet.com/anime/cowboy-bebop,1
Puzzle & Dragons X,https://www.anime-planet.com/anime/puzzle-and-dragons-x,32772
Cowboy Bebop: The Movie,https://www.anime-planet.com/anime/cowboy-bebop-the-movie,5
Trigun,https://www.anime-planet.com/anime/trigun,6
Witch Hunter Robin,https://www.anime-planet.com/anime/witch-hunter-robin,7
Beet the Vandel Buster,https://www.anime-planet.com/anime/beet-the-vandel-buster,8
Eyeshield 21,https://www.anime-planet.com/anime/eyeshield-21,15
Honey and Clover,https://www.anime-planet.com/anime/honey-and-clover,16
Hungry Heart: Wild Striker,https://www.anime-planet.com/anime/hungry-heart-wild-striker,17
Initial D Fourth Stage,https://www.anime-planet.com/anime/initial-d-fourth-stage,18
Monster,https://www.anime-planet.com/anime/monster,19
Naruto,https://www.anime-planet.com/anime/naruto,20
∞,https://www.anime-planet.com/anime/infinity,32788
The Prince of Tennis,https://www.anime-planet.com/anime/the-prince-of-tennis,22
Ring ni Kakero 1,https://www.anime-planet.com/anime/ring-ni-kakero-1,23
School Rumble,https://www.anime-planet.com/anime/school-rumble,24
Mobile Suit Gundam Unicorn RE:0096,https://www.anime-planet.com/anime/mobile-suit-gundam-unicorn-re0096,32792
Texhnolyze,https://www.anime-planet.com/anime/texhnolyze,26
Trinity Blood,https://www.anime-planet.com/anime/trinity-blood,27
Yakitate!! Japan,https://www.anime-planet.com/anime/yakitate-japan,28
Zipang,https://www.anime-planet.com/anime/zipang,29
Neon Genesis Evangelion,https://www.anime-planet.com/anime/neon-genesis-evangelion,30
Neon Genesis Evangelion: Death and Rebirth,https://www.anime-planet.com/anime/neon-genesis-evangelion-death-and-rebirth,31
Neon Genesis Evangelion: The End of Evangelion,https://www.anime-planet.com/anime/neon-genesis-evangelion-the-end-of-evangelion,32
Berserk,https://www.anime-planet.com/anime/berserk,33
Is It Wrong to Try to Pick Up Girls in a Dungeon? OVA,https://www.anime-planet.com/anime/is-it-wrong-to-try-to-pick-up-girls-in-a-dungeon-ova,32801
Cardfight!! Vanguard G: Stride Gate,https://www.anime-planet.com/anime/cardfight-vanguard-g-stride-gate,32802
Nyanbo!,https://www.anime-planet.com/anime/nyanbo,32805
Aikatsu! Nerawareta Mahou no Aikatsu Card,https://www.anime-planet.com/anime/aikatsu-nerawareta-mahou-no-aikatsu-card,32806
Ghost in the Shell,https://www.anime-planet.com/anime/ghost-in-the-shell,43
Rurouni Kenshin: Tsuiokuhen,https://www.anime-planet.com/anime/rurouni-kenshin-tsuiokuhen,44
Rurouni Kenshin,https://www.anime-planet.com/anime/rurouni-kenshin,45
Rurouni Kenshin Movie,https://www.anime-planet.com/anime/rurouni-kenshin-movie,46
Akira,https://www.anime-planet.com/anime/akira,47
.hack//SIGN,https://www.anime-planet.com/anime/hack-sign,48
Ah! My Goddess TV,https://www.anime-planet.com/anime/ah-my-goddess-tv,50
Angel Sanctuary,https://www.anime-planet.com/anime/angel-sanctuary,51
Ai Yori Aoshi,https://www.anime-planet.com/anime/ai-yori-aoshi,53
Appleseed Movie,https://www.anime-planet.com/anime/appleseed-movie,54
Arc the Lad,https://www.anime-planet.com/anime/arc-the-lad,55
Avenger,https://www.anime-planet.com/anime/avenger,56
BECK: Mongolian Chop Squad,https://www.anime-planet.com/anime/beck-mongolian-chop-squad,57
Blue Gender,https://www.anime-planet.com/anime/blue-gender,58
B: The Beginning,https://www.anime-planet.com/anime/b-the-beginning,32827
Chrono Crusade,https://www.anime-planet.com/anime/chrono-crusade,60
Chobits,https://www.anime-planet.com/anime/chobits,59
D.N.Angel,https://www.anime-planet.com/anime/d-n-angel,61
Rozen Maiden,https://www.anime-planet.com/anime/rozen-maiden,64
Rozen Maiden: Träumend,https://www.anime-planet.com/anime/rozen-maiden-traumend,65
Basilisk,https://www.anime-planet.com/anime/basilisk,67
Black Cat,https://www.anime-planet.com/anime/black-cat,68
Cluster Edge,https://www.anime-planet.com/anime/cluster-edge,69
Ninja Girl & Samurai Master,https://www.anime-planet.com/anime/ninja-girl-and-samurai-master,32829
Full Metal Panic!,https://www.anime-planet.com/anime/full-metal-panic,71
Full Metal Panic? Fumoffu,https://www.anime-planet.com/anime/full-metal-panic-fumoffu,72
Full Metal Panic! The Second Raid,https://www.anime-planet.com/anime/full-metal-panic-the-second-raid,73
Gakuen Alice,https://www.anime-planet.com/anime/gakuen-alice,74
Fafner,https://www.anime-planet.com/anime/fafner,75
Magical Girl Lyrical Nanoha,https://www.anime-planet.com/anime/magical-girl-lyrical-nanoha,76
Magical Girl Lyrical Nanoha A's,https://www.anime-planet.com/anime/magical-girl-lyrical-nanoha-as,77
Symphogear XV,https://www.anime-planet.com/anime/symphogear-xv,32843
Mobile Suit Gundam,https://www.anime-planet.com/anime/mobile-suit-gundam,80
Mobile Suit Gundam: The 08th MS Team,https://www.anime-planet.com/anime/mobile-suit-gundam-the-08th-ms-team,81
Mobile Suit Gundam 0080: War in the Pocket,https://www.anime-planet.com/anime/mobile-suit-gundam-0080-war-in-the-pocket,82
Mobile Suit Gundam: The 08th MS Team - Miller's Report,https://www.anime-planet.com/anime/mobile-suit-gundam-the-08th-ms-team-millers-report,83
Mobile Suit Gundam 0083: Stardust Memory,https://www.anime-planet.com/anime/mobile-suit-gundam-0083-stardust-memory,84
Mobile Suit Zeta Gundam,https://www.anime-planet.com/anime/mobile-suit-zeta-gundam,85
Mobile Suit Gundam ZZ,https://www.anime-planet.com/anime/mobile-suit-gundam-zz,86
Mobile Suit Gundam: Char's Counterattack,https://www.anime-planet.com/anime/mobile-suit-gundam-chars-counterattack,87
Mobile Suit Gundam F91,https://www.anime-planet.com/anime/mobile-suit-gundam-f91,88
Mobile Suit Victory Gundam,https://www.anime-planet.com/anime/mobile-suit-victory-gundam,89
Mobile Suit Gundam Wing,https://www.anime-planet.com/anime/mobile-suit-gundam-wing,90
