Anime,URL,Tags,Alts
farewellmydearcramer,https://www.anime-planet.com/anime/farewell-my-dear-cramer,"['Shounen', 'Sports', 'Soccer', 'Based on a Manga']","
Alt title: Sayonara Watashi no Cramer
"
networksabrah,https://www.anime-planet.com/anime/networks-ab-rah,['Abstract'],
themadcapsulemarketsscary,https://www.anime-planet.com/anime/the-mad-capsule-markets-scary,[],
minamikamakurahighschoolgirlscyclingclub,https://www.anime-planet.com/anime/minami-kamakura-high-school-girls-cycling-club,"['Shounen', 'Sports', 'Cycling', 'School Club', 'School Life', 'Based on a Manga']","
Alt title: Minami Kamakura Koukou Joshi Jitenshabu
"
arawotomattakumininaranaisong,https://www.anime-planet.com/anime/arawoto-mattaku-mi-ni-naranai-song,['Vocaloid'],"
Alt title: Arawoto: Wholly Useless Song
"
hellokitty40thanniversary,https://www.anime-planet.com/anime/hello-kitty-40th-anniversary,"['Mecha', 'Animal Protagonists', 'Anthropomorphic', 'Cats', 'Family Friendly', 'Non-Human Protagonists', 'Sanrio Characters']",
dearnaturacmnanto,https://www.anime-planet.com/anime/dear-natura-cm-nanto,"['Comedy', 'Commercials', 'Promotional']",
tori,https://www.anime-planet.com/anime/tori,"['Abstract', 'Shorts']","
Alt title: The Bird
"
poppinpartyyesbangdream,https://www.anime-planet.com/anime/poppin-party-yes-bangdream,['Music'],"
Alt title: Yes! BanG_Dream!
"
yugiohzexaliimidokorotenkomorispecial,https://www.anime-planet.com/anime/yu-gi-oh-zexal-ii-midokoro-tenkomori-special,"['Shounen', 'Card Battles', 'Recap', 'Based on a Manga']",
duelmasterscharge,https://www.anime-planet.com/anime/duel-masters-charge,"['Shounen', 'Card Battles', 'Family Friendly', 'Based on a Manga']",
tuzkiloveassassin,https://www.anime-planet.com/anime/tuzki-love-assassin,"['Action', 'Comedy', 'No Dialogue', 'Shorts']",
tanteioperamilkyholmestd,https://www.anime-planet.com/anime/tantei-opera-milky-holmes-td,"['Comedy', 'Mystery', 'Detectives', 'Sherlock Holmes']",
threefallenwitnesses,https://www.anime-planet.com/anime/three-fallen-witnesses,"['Drama', 'Mystery', 'Japan Animator', 'Police', 'Shorts']","
Alt titles: Nihon Animator Mihonichi: Three Fallen Witnesses, Sanbon no Shougensha
"
psychoarmorgovarian,https://www.anime-planet.com/anime/psycho-armor-govarian,"['Action', 'Adventure', 'Mecha', 'Sci Fi', 'Outer Space', 'Psychic Powers']",
kirbyrightbackatya,https://www.anime-planet.com/anime/kirby-right-back-at-ya,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Aliens', 'Family Friendly', 'Monster-of-the-week', 'Non-Human Protagonists', 'Based on a Video Game']","
Alt title: Hoshi no Kirby
"
apronhero,https://www.anime-planet.com/anime/apron-hero,"['Cooking', 'Family Friendly', 'Minna no Uta']","
Alt title: Minna no Uta: Apron Hero
"
shiawasenotokei,https://www.anime-planet.com/anime/shiawase-no-tokei,"['Family Friendly', 'Family Life', 'Minna no Uta']",
kashikokimono,https://www.anime-planet.com/anime/kashikokimono,"['Abstract', 'Shorts']",
tadaimachibigodzilla2ndseason,https://www.anime-planet.com/anime/tadaima-chibi-godzilla-2nd-season,"['Comedy', 'Slice of Life', 'Chibi', 'Kaijuu', 'Monsters', 'Short Episodes', 'CG Animation']",
